fahrt_id,fzg_id,linie,tst_iso,gap_sec
82102,869,1,2025-08-02T11:36:30.290874+0000,31
129101,849,1,2025-08-01T17:08:51.353396+0000,38
148130,851,1,2025-07-30T20:03:18.162920+0000,31
209101,881,1,2025-08-01T08:31:29.802648+0000,33
233101,881,1,2025-08-01T11:26:37.361605+0000,32
243103,901,1,2025-08-03T14:55:42.270541+0000,31
257101,881,1,2025-08-01T15:08:09.279632+0000,35
258102,857,1,2025-08-02T10:29:38.681540+0000,63
258102,857,1,2025-08-02T10:31:55.688025+0000,63
273101,881,1,2025-08-01T17:01:08.324821+0000,39
300128,867,1,2025-07-28T19:19:38.436052+0000,34
300128,867,1,2025-07-28T19:20:51.441915+0000,47
300128,867,1,2025-07-28T19:22:52.461389+0000,32
330102,902,1,2025-08-02T06:47:52.816679+0000,83
339103,882,1,2025-08-03T14:45:05.189679+0000,40
341131,873,1,2025-07-31T03:39:44.439491+0000,73
441101,873,1,2025-08-01T17:00:53.283401+0000,76
441101,873,1,2025-08-01T17:01:25.266133+0000,31
522102,882,1,2025-08-02T14:01:00.510860+0000,32
524130,852,1,2025-07-30T08:12:03.414717+0000,62
530102,882,1,2025-08-02T14:55:17.951427+0000,66
588130,852,1,2025-07-30T15:54:18.593119+0000,35
700130,849,1,2025-07-30T08:12:01.445111+0000,73
780130,849,1,2025-07-30T18:33:57.608921+0000,32
788129,883,1,2025-07-29T19:39:26.616084+0000,33
833101,888,1,2025-08-01T08:00:47.534103+0000,33
836130,857,1,2025-07-30T08:12:03.414797+0000,69
853131,855,1,2025-07-31T09:32:39.028770+0000,32
853131,855,1,2025-07-31T10:13:46.415204+0000,31
899103,881,1,2025-08-03T17:55:50.845228+0000,31
937101,888,1,2025-08-01T21:13:36.966918+0000,34
941131,855,1,2025-07-31T21:14:50.346376+0000,32
962102,873,1,2025-08-02T17:13:11.304683+0000,37
971103,904,1,2025-08-03T15:43:05.714189+0000,487
1044130,864,1,2025-07-30T14:25:10.969072+0000,31
1067103,258,2,2025-08-03T11:38:31.571334+0000,32
1081101,867,1,2025-08-01T19:26:57.407980+0000,31
1083103,258,2,2025-08-03T14:03:05.755228+0000,66
1091103,258,2,2025-08-03T14:45:05.188591+0000,43
1129101,1795,1,2025-08-01T07:19:36.116091+0000,59
1137101,1795,1,2025-08-01T08:00:35.537498+0000,34
1140128,1928,1,2025-07-28T08:14:34.703323+0000,52
1140128,1928,1,2025-07-28T08:16:42.702445+0000,59
1147127,265,2,2025-07-27T22:51:02.208546+0000,31
1162102,304,2,2025-08-02T04:46:36.167481+0000,36
1170102,304,2,2025-08-02T05:15:28.339980+0000,33
1172128,1928,1,2025-07-28T12:26:01.588763+0000,32
1187103,281,2,2025-08-03T10:11:48.860914+0000,31
1201101,1795,1,2025-08-01T16:35:56.003223+0000,31
1202102,304,2,2025-08-02T09:57:57.458713+0000,31
1211103,281,2,2025-08-03T14:03:03.744712+0000,53
1218102,304,2,2025-08-02T12:00:10.485079+0000,31
1233101,1795,1,2025-08-01T20:31:49.789597+0000,80
1249101,1795,1,2025-08-01T21:30:57.061422+0000,3485
1283103,259,2,2025-08-03T05:14:14.770135+0000,40
1292129,305,2,2025-07-29T06:17:20.370776+0000,61
1292129,305,2,2025-07-29T06:22:39.474653+0000,57
1292129,305,2,2025-07-29T06:33:48.493682+0000,37
1292129,305,2,2025-07-29T06:38:48.548451+0000,66
1297101,278,2,2025-08-01T08:24:26.736556+0000,60
1305101,278,2,2025-08-01T08:32:11.790006+0000,51
1305101,278,2,2025-08-01T09:16:04.218826+0000,37
1306102,304,2,2025-08-03T01:33:34.525038+0000,31
1307103,259,2,2025-08-03T08:09:37.911278+0000,31
1324128,265,2,2025-07-28T11:19:04.039981+0000,36
1324128,265,2,2025-07-28T11:29:47.142738+0000,37
1324128,265,2,2025-07-28T11:45:59.270754+0000,63
1324130,256,2,2025-07-30T10:41:58.498959+0000,32
1324130,256,2,2025-07-30T10:57:43.586953+0000,44
1329101,278,2,2025-08-01T12:41:00.965200+0000,44
1346102,259,2,2025-08-02T05:16:08.329209+0000,98
1347103,259,2,2025-08-03T14:02:53.753167+0000,50
1347103,259,2,2025-08-03T14:22:18.942857+0000,33
1353101,278,2,2025-08-01T16:01:52.719907+0000,39
1353101,278,2,2025-08-01T16:02:55.715918+0000,45
1356128,265,2,2025-07-28T15:21:15.822870+0000,32
1356128,265,2,2025-07-28T16:01:44.098172+0000,32
1361101,278,2,2025-08-01T16:52:32.219782+0000,32
1361101,278,2,2025-08-01T17:01:56.272546+0000,33
1365131,261,2,2025-07-31T17:15:43.718526+0000,33
1369101,278,2,2025-08-01T17:49:26.648746+0000,68
1370102,259,2,2025-08-02T07:41:03.337303+0000,31
1370102,259,2,2025-08-02T07:49:03.395362+0000,32
1372129,305,2,2025-07-29T17:53:25.893396+0000,31
1377101,278,2,2025-08-01T19:33:16.436748+0000,34
1385101,278,2,2025-08-01T20:07:19.646944+0000,35
1385101,278,2,2025-08-01T20:08:17.644458+0000,31
1404128,265,2,2025-07-28T22:54:36.586379+0000,32
1410102,259,2,2025-08-02T14:01:50.519369+0000,40
1417101,278,2,2025-08-02T00:36:22.915381+0000,31
1420128,265,2,2025-07-29T01:05:25.214348+0000,36
1434102,259,2,2025-08-02T17:21:20.388461+0000,38
1434102,259,2,2025-08-02T17:25:36.425796+0000,51
1445131,275,2,2025-07-31T02:24:02.015589+0000,32
1451103,288,2,2025-08-03T13:07:31.322219+0000,31
1452130,261,2,2025-07-30T03:25:55.296858+0000,32
1460130,261,2,2025-07-30T04:41:59.862652+0000,31
1473101,256,2,2025-08-01T06:41:54.820191+0000,33
1476129,256,2,2025-07-29T06:33:51.498712+0000,43
1481101,256,2,2025-08-01T07:53:48.492980+0000,52
1481101,256,2,2025-08-01T08:01:24.535926+0000,42
1481101,256,2,2025-08-01T08:23:57.724301+0000,32
1481101,256,2,2025-08-01T08:30:57.794787+0000,32
1484130,261,2,2025-07-30T07:42:56.260660+0000,32
1484130,261,2,2025-07-30T07:49:04.308974+0000,40
1484130,261,2,2025-07-30T07:59:05.355521+0000,41
1490102,278,2,2025-08-02T10:17:20.600767+0000,33
1490102,278,2,2025-08-02T10:17:52.603510+0000,32
1490102,278,2,2025-08-02T10:18:30.594986+0000,37
1490102,278,2,2025-08-02T10:19:14.612731+0000,33
1492129,256,2,2025-07-29T09:04:02.648019+0000,32
1492130,261,2,2025-07-30T09:38:50.031525+0000,53
1493131,275,2,2025-07-31T08:57:57.769589+0000,32
1505101,256,2,2025-08-01T11:19:05.305069+0000,50
1508128,258,2,2025-07-28T11:29:44.133543+0000,31
1508128,258,2,2025-07-28T11:38:55.208948+0000,53
1508128,258,2,2025-07-28T11:45:48.268695+0000,42
1514102,278,2,2025-08-02T14:02:00.514146+0000,63
1515103,308,2,2025-08-03T03:11:32.073889+0000,32
1521101,256,2,2025-08-01T13:15:28.347675+0000,96
1521101,256,2,2025-08-01T13:19:45.363026+0000,244
1533131,275,2,2025-07-31T15:14:04.819881+0000,32
1537101,256,2,2025-08-01T16:14:25.820159+0000,48
1538102,278,2,2025-08-02T17:21:23.388376+0000,61
1545101,256,2,2025-08-01T16:34:28.970287+0000,42
1545101,256,2,2025-08-01T17:02:16.282751+0000,64
1549131,275,2,2025-07-31T17:22:11.755818+0000,32
1557131,275,2,2025-07-31T17:56:57.979804+0000,33
1570102,278,2,2025-08-02T21:17:32.240388+0000,34
1570102,278,2,2025-08-02T21:24:45.286702+0000,38
1570102,278,2,2025-08-02T21:28:30.299714+0000,38
1570102,278,2,2025-08-02T21:29:08.311631+0000,37
1570102,278,2,2025-08-02T21:33:54.321051+0000,43
1570102,278,2,2025-08-02T21:35:30.334215+0000,41
1570102,278,2,2025-08-02T21:44:32.414738+0000,41
1571103,308,2,2025-08-03T11:01:17.285548+0000,32
1580128,275,2,2025-07-28T03:36:23.653975+0000,964
1580130,288,2,2025-07-30T03:36:27.392794+0000,294
1587103,308,2,2025-08-03T13:04:35.255633+0000,697
1587103,308,2,2025-08-03T13:26:34.473322+0000,35
1588128,275,2,2025-07-28T04:17:29.927258+0000,32
1595103,308,2,2025-08-03T14:02:58.786418+0000,50
1596129,278,2,2025-07-29T04:58:53.732132+0000,33
1597131,281,2,2025-07-31T04:43:04.904202+0000,31
1602102,297,2,2025-08-02T03:16:29.662656+0000,267
1604129,278,2,2025-07-29T06:33:56.504631+0000,39
1617101,262,2,2025-08-01T07:53:32.457559+0000,32
1617101,262,2,2025-08-01T08:32:24.796921+0000,52
1625101,262,2,2025-08-01T09:00:38.083533+0000,32
1625101,262,2,2025-08-01T09:12:02.174066+0000,31
1625101,262,2,2025-08-01T09:16:14.253592+0000,58
1626102,297,2,2025-08-02T06:17:27.638020+0000,64
1627103,260,2,2025-08-03T01:32:24.521556+0000,32
1628130,288,2,2025-07-30T09:38:36.027770+0000,32
1635103,260,2,2025-08-03T01:47:07.612895+0000,583
1636129,278,2,2025-07-29T10:57:46.574139+0000,32
1636130,288,2,2025-07-30T10:57:55.584405+0000,62
1641101,262,2,2025-08-01T11:21:31.326911+0000,31
1641101,262,2,2025-08-01T11:32:33.429380+0000,31
1643103,260,2,2025-08-03T03:28:07.160027+0000,34
1643103,260,2,2025-08-03T03:43:15.270997+0000,48
1643103,260,2,2025-08-03T03:47:17.281597+0000,44
1644128,275,2,2025-07-28T11:19:10.036747+0000,43
1644128,275,2,2025-07-28T11:30:00.136216+0000,50
1645131,281,2,2025-07-31T12:01:43.288992+0000,31
1650102,297,2,2025-08-02T10:25:25.645564+0000,32
1651103,260,2,2025-08-03T04:17:12.466686+0000,68
1657101,262,2,2025-08-01T13:33:53.505097+0000,329
1657101,262,2,2025-08-01T13:42:17.532185+0000,32
1658102,297,2,2025-08-02T10:36:09.738110+0000,60
1658102,297,2,2025-08-02T10:56:53.893125+0000,38
1661131,281,2,2025-07-31T14:10:10.346055+0000,32
1666102,297,2,2025-08-02T12:25:45.682101+0000,32
1673101,262,2,2025-08-01T16:14:11.830031+0000,42
1673101,262,2,2025-08-01T16:34:11.035693+0000,31
1676130,288,2,2025-07-30T16:09:12.704176+0000,32
1681101,262,2,2025-08-01T17:02:01.269429+0000,46
1682102,297,2,2025-08-02T14:01:53.504996+0000,56
1682102,297,2,2025-08-02T14:43:30.865739+0000,54
1682102,297,2,2025-08-02T14:56:15.967702+0000,46
1690102,297,2,2025-08-02T15:02:46.046408+0000,34
1690102,297,2,2025-08-02T15:04:16.063974+0000,31
1690102,297,2,2025-08-02T15:05:28.075199+0000,32
1692128,275,2,2025-07-28T18:06:47.935671+0000,32
1692129,278,2,2025-07-29T18:50:23.318733+0000,31
1693131,281,2,2025-07-31T18:17:27.202481+0000,31
1700129,278,2,2025-07-29T19:51:55.690696+0000,34
1705101,262,2,2025-08-01T20:10:53.702081+0000,32
1706102,297,2,2025-08-02T17:18:55.373453+0000,55
1706102,297,2,2025-08-02T17:21:17.376347+0000,46
1706102,297,2,2025-08-02T17:22:35.395527+0000,33
1706102,297,2,2025-08-02T17:25:39.421557+0000,61
1709131,281,2,2025-07-31T20:20:23.066306+0000,32
1714102,297,2,2025-08-02T19:03:50.284368+0000,38
1714102,297,2,2025-08-02T19:11:38.354493+0000,60
1714102,297,2,2025-08-02T19:24:36.443019+0000,48
1715103,260,2,2025-08-03T14:02:59.760039+0000,57
1717131,281,2,2025-07-31T22:12:45.620004+0000,31
1722102,297,2,2025-08-02T19:26:05.452220+0000,80
1722102,297,2,2025-08-02T19:27:11.458756+0000,65
1722102,297,2,2025-08-02T19:28:02.473277+0000,51
1722102,297,2,2025-08-02T19:30:41.496058+0000,140
1722102,297,2,2025-08-02T19:33:29.509720+0000,44
1722102,297,2,2025-08-02T19:52:41.659025+0000,31
1732130,309,2,2025-07-30T02:35:53.931682+0000,229
1737101,262,2,2025-08-02T00:44:47.943031+0000,34
1737101,262,2,2025-08-02T01:41:25.214677+0000,32
1740129,257,2,2025-07-29T02:50:19.738938+0000,32
1740130,309,2,2025-07-30T02:38:43.943082+0000,32
1740130,309,2,2025-07-30T03:49:37.497765+0000,547
1746102,308,2,2025-08-02T08:42:44.812409+0000,31
1747103,309,2,2025-08-03T18:15:41.018155+0000,32
1747103,309,2,2025-08-03T18:49:31.360891+0000,343
1748130,309,2,2025-07-30T03:50:18.502410+0000,41
1755103,309,2,2025-08-03T18:51:10.380256+0000,115
1756130,309,2,2025-07-30T05:30:41.252392+0000,32
1756130,309,2,2025-07-30T06:02:37.501083+0000,1087
1764129,257,2,2025-07-29T06:33:58.514723+0000,39
1764130,309,2,2025-07-30T06:03:55.521500+0000,78
1772130,309,2,2025-07-30T07:42:27.262546+0000,32
1772130,309,2,2025-07-30T07:49:09.312929+0000,45
1772130,309,2,2025-07-30T07:59:09.354040+0000,45
1778102,308,2,2025-08-02T14:01:32.507027+0000,32
1785101,281,2,2025-08-01T07:19:23.123348+0000,39
1785101,281,2,2025-08-01T07:53:47.516520+0000,50
1788130,309,2,2025-07-30T09:38:54.033521+0000,58
1788130,309,2,2025-07-30T10:32:01.451045+0000,655
1789131,278,2,2025-07-31T10:05:56.349267+0000,44
1793101,281,2,2025-08-01T08:01:23.619703+0000,42
1794102,308,2,2025-08-02T15:15:36.220519+0000,40
1796128,264,2,2025-07-28T11:04:25.927165+0000,31
1796130,309,2,2025-07-30T10:32:33.449320+0000,33
1802102,308,2,2025-08-02T17:13:38.309383+0000,49
1803103,275,2,2025-08-03T08:00:00.841858+0000,986
1804128,264,2,2025-07-28T11:38:42.202305+0000,45
1804130,309,2,2025-07-30T12:46:46.368323+0000,1123
1812130,309,2,2025-07-30T12:47:57.372143+0000,80
1817101,281,2,2025-08-01T11:30:33.405154+0000,48
1817101,281,2,2025-08-01T11:34:26.440364+0000,201
1820130,309,2,2025-07-30T15:01:50.245885+0000,1079
1836130,309,2,2025-07-30T17:17:05.166775+0000,1112
1843103,275,2,2025-08-03T13:13:21.333346+0000,32
1844130,309,2,2025-07-30T17:20:01.192884+0000,177
1849101,281,2,2025-08-01T16:14:24.817551+0000,45
1849101,281,2,2025-08-01T16:34:27.032875+0000,32
1851103,275,2,2025-08-03T14:02:50.746830+0000,39
1852130,309,2,2025-07-30T19:35:22.985423+0000,1220
1858102,308,2,2025-08-03T01:07:48.407549+0000,32
1859103,275,2,2025-08-03T14:46:22.164610+0000,58
1860130,309,2,2025-07-30T19:36:17.993222+0000,58
1860130,309,2,2025-07-30T19:39:32.994875+0000,161
1865101,281,2,2025-08-01T18:11:45.817330+0000,92
1865101,281,2,2025-08-01T18:12:18.126170+0000,32
1865101,281,2,2025-08-01T18:13:14.841836+0000,56
1865101,281,2,2025-08-01T18:14:19.852704+0000,41
1865101,281,2,2025-08-01T18:15:20.855298+0000,37
1865101,281,2,2025-08-01T18:18:13.880346+0000,44
1884130,308,2,2025-07-30T04:07:22.640174+0000,32
1892128,278,2,2025-07-28T05:12:22.969480+0000,32
1892129,288,2,2025-07-29T05:28:55.939528+0000,31
1893131,308,2,2025-07-31T05:53:30.425380+0000,32
1900128,276,2,2025-07-28T06:11:22.825090+0000,415
1900128,276,2,2025-07-28T06:26:58.940996+0000,32
1900129,288,2,2025-07-29T06:17:08.376690+0000,49
1900129,288,2,2025-07-29T06:22:30.413089+0000,56
1900129,288,2,2025-07-29T06:38:38.550039+0000,54
1908129,288,2,2025-07-29T07:30:15.876025+0000,32
1908130,308,2,2025-07-30T07:42:56.260734+0000,32
1908130,308,2,2025-07-30T07:49:04.309401+0000,37
1908130,308,2,2025-07-30T07:59:04.362585+0000,36
1916130,308,2,2025-07-30T09:16:38.857926+0000,32
1917131,308,2,2025-07-31T09:05:21.826537+0000,31
1924130,308,2,2025-07-30T09:38:50.031742+0000,47
1929101,308,2,2025-08-01T08:32:23.805093+0000,62
1929101,308,2,2025-08-01T09:16:13.202352+0000,54
1931103,262,2,2025-08-03T01:21:03.463085+0000,418
1932128,276,2,2025-07-28T11:19:22.035365+0000,46
1932128,276,2,2025-07-28T11:30:03.142924+0000,59
1941131,308,2,2025-07-31T12:10:21.927262+0000,31
1947103,262,2,2025-08-03T04:16:07.461093+0000,60
1953101,308,2,2025-08-01T11:44:37.518931+0000,33
1953101,308,2,2025-08-01T11:45:10.524428+0000,33
1953101,308,2,2025-08-01T12:37:03.952582+0000,32
1956128,276,2,2025-07-28T15:07:35.715324+0000,37
1957131,308,2,2025-07-31T14:06:34.318286+0000,32
1977101,308,2,2025-08-01T15:51:56.642614+0000,42
1978102,263,2,2025-08-02T17:13:50.312134+0000,48
1978102,263,2,2025-08-02T17:25:15.404424+0000,36
1979103,262,2,2025-08-03T08:29:32.058031+0000,31
1980128,276,2,2025-07-28T18:19:08.983827+0000,31
1980130,308,2,2025-07-30T18:09:49.473068+0000,31
1985101,308,2,2025-08-01T16:14:08.853885+0000,39
1985101,308,2,2025-08-01T16:26:50.924469+0000,32
1985101,308,2,2025-08-01T16:34:11.036984+0000,35
1985101,308,2,2025-08-01T17:02:07.291947+0000,43
1987103,262,2,2025-08-03T09:44:45.659370+0000,33
1996130,308,2,2025-07-30T19:44:40.035702+0000,1055
2019103,262,2,2025-08-03T14:02:42.752216+0000,43
2020130,308,2,2025-07-30T23:10:38.113457+0000,1588
2027103,262,2,2025-08-03T14:46:17.163500+0000,51
2028130,308,2,2025-07-31T00:29:13.513281+0000,62
2036128,276,2,2025-07-29T01:37:42.388110+0000,31
2036129,288,2,2025-07-30T02:05:50.742057+0000,32
2050102,275,2,2025-08-02T11:12:14.018351+0000,32
2050102,275,2,2025-08-02T11:14:11.051015+0000,53
2050102,275,2,2025-08-02T11:15:07.069863+0000,44
2050102,275,2,2025-08-02T11:17:08.091686+0000,37
2052130,265,2,2025-07-30T02:30:32.893081+0000,31
2060130,265,2,2025-07-30T03:13:14.213842+0000,32
2082102,275,2,2025-08-02T15:41:11.455953+0000,41
2082102,275,2,2025-08-02T15:43:18.486635+0000,44
2082102,275,2,2025-08-02T15:46:48.495345+0000,32
2082102,275,2,2025-08-02T15:47:53.518283+0000,33
2084129,259,2,2025-07-29T06:16:57.361653+0000,49
2084129,259,2,2025-07-29T06:22:19.080458+0000,50
2084129,259,2,2025-07-29T06:34:16.580440+0000,58
2084129,259,2,2025-07-29T06:38:25.626248+0000,42
2090102,275,2,2025-08-02T17:13:38.308237+0000,36
2100130,265,2,2025-07-30T09:38:36.027665+0000,42
2105101,258,2,2025-08-01T07:55:40.496249+0000,31
2105101,258,2,2025-08-01T08:01:42.551887+0000,55
2105101,258,2,2025-08-01T08:24:08.726138+0000,43
2113101,258,2,2025-08-01T08:31:57.844378+0000,37
2114102,275,2,2025-08-02T20:09:41.767702+0000,54
2114102,275,2,2025-08-02T20:12:47.783880+0000,129
2114102,275,2,2025-08-02T20:13:51.795763+0000,64
2114102,275,2,2025-08-02T20:15:18.799431+0000,51
2114102,275,2,2025-08-02T20:15:54.801750+0000,36
2116128,305,2,2025-07-28T11:38:50.218790+0000,58
2116128,305,2,2025-07-28T11:45:42.270143+0000,45
2116129,259,2,2025-07-29T11:44:58.934962+0000,32
2116130,265,2,2025-07-30T10:57:55.584207+0000,69
2124128,305,2,2025-07-28T12:33:26.635166+0000,31
2130102,275,2,2025-08-02T22:18:04.595393+0000,32
2130102,275,2,2025-08-02T22:23:55.631218+0000,31
2130102,275,2,2025-08-02T22:45:15.752076+0000,33
2153101,258,2,2025-08-01T14:14:10.784288+0000,54
2153101,258,2,2025-08-01T14:16:25.806601+0000,36
2153101,258,2,2025-08-01T14:18:17.809250+0000,39
2153101,258,2,2025-08-01T14:19:19.895161+0000,51
2153101,258,2,2025-08-01T14:21:20.833866+0000,36
2155103,256,2,2025-08-03T14:02:59.759201+0000,68
2161101,258,2,2025-08-01T16:02:44.711712+0000,40
2162102,288,2,2025-08-02T02:13:32.361777+0000,35
2164130,265,2,2025-07-30T18:24:07.555101+0000,32
2165131,304,2,2025-07-31T18:47:26.400371+0000,531
2169101,258,2,2025-08-01T16:34:49.978185+0000,63
2170102,288,2,2025-08-02T02:14:25.365531+0000,31
2170102,288,2,2025-08-02T02:38:19.486160+0000,34
2172130,265,2,2025-07-30T18:55:49.751984+0000,33
2177101,258,2,2025-08-01T17:49:08.644604+0000,50
2180129,259,2,2025-07-29T20:39:35.998290+0000,31
2185101,258,2,2025-08-01T18:43:30.137852+0000,45
2185101,258,2,2025-08-01T18:44:57.107003+0000,36
2185101,258,2,2025-08-01T18:46:14.120393+0000,33
2185101,258,2,2025-08-01T18:48:04.121153+0000,32
2195103,265,3,2025-08-03T01:55:02.649780+0000,72
2202102,288,2,2025-08-02T06:51:52.848884+0000,50
2202102,288,2,2025-08-02T06:52:27.862227+0000,35
2202102,288,2,2025-08-02T07:00:17.926941+0000,32
2202102,288,2,2025-08-02T07:02:25.956139+0000,32
2202102,288,2,2025-08-02T07:11:25.038006+0000,32
2204128,305,2,2025-07-28T23:30:42.751597+0000,31
2217101,258,2,2025-08-01T23:23:46.575103+0000,34
2228128,306,2,2025-07-28T03:46:50.710638+0000,408
2228128,306,2,2025-07-28T04:59:43.298803+0000,32
2229131,258,2,2025-07-31T03:42:27.465286+0000,32
2242102,288,2,2025-08-02T13:41:29.358490+0000,33
2244129,265,2,2025-07-29T05:41:48.043276+0000,31
2244129,265,2,2025-07-29T06:22:43.419463+0000,71
2250102,288,2,2025-08-02T14:01:49.522538+0000,54
2258102,288,2,2025-08-02T15:38:18.439469+0000,32
2274102,288,2,2025-08-02T17:14:00.311930+0000,66
2274102,288,2,2025-08-02T17:21:13.382715+0000,46
2274102,288,2,2025-08-02T17:25:36.426318+0000,54
2276130,304,2,2025-07-30T10:13:13.339055+0000,32
2276130,304,2,2025-07-30T10:57:48.576165+0000,57
2281101,280,2,2025-08-01T07:49:02.424975+0000,404
2284128,261,2,2025-07-28T11:10:32.962658+0000,31
2284128,261,2,2025-07-28T11:18:28.033438+0000,42
2284128,261,2,2025-07-28T11:18:59.040418+0000,31
2284128,261,2,2025-07-28T11:29:50.138322+0000,31
2284128,261,2,2025-07-28T11:46:03.300882+0000,50
2285131,258,2,2025-07-31T11:54:35.239101+0000,32
2289101,280,2,2025-08-01T07:50:16.450898+0000,82
2289101,280,2,2025-08-01T08:24:24.957505+0000,54
2289101,280,2,2025-08-01T08:32:03.859483+0000,36
2299103,265,3,2025-08-03T13:33:11.525548+0000,31
2299103,265,3,2025-08-03T14:03:02.756333+0000,68
2300128,261,2,2025-07-28T14:12:35.346502+0000,32
2301131,258,2,2025-07-31T14:13:44.364882+0000,31
2314102,256,2,2025-08-02T07:15:47.096794+0000,31
2314102,256,2,2025-08-02T07:16:52.115996+0000,31
2321101,280,2,2025-08-01T12:19:48.816693+0000,52
2322102,256,2,2025-08-02T09:10:46.044669+0000,31
2324128,261,2,2025-07-28T16:51:27.437925+0000,32
2340129,265,2,2025-07-29T19:58:05.723326+0000,48
2340129,265,2,2025-07-29T19:58:43.727203+0000,38
2345101,280,2,2025-08-01T16:02:48.729098+0000,50
2345101,280,2,2025-08-01T16:28:28.003328+0000,32
2348128,304,2,2025-07-28T03:37:36.720389+0000,32
2361101,280,2,2025-08-01T17:49:10.665054+0000,61
2361101,280,2,2025-08-01T18:42:32.070550+0000,33
2362102,256,2,2025-08-02T14:01:30.508942+0000,34
2369101,280,2,2025-08-01T18:58:06.194704+0000,268
2369101,280,2,2025-08-01T18:59:04.248781+0000,58
2369101,280,2,2025-08-01T19:02:32.232402+0000,205
2369101,280,2,2025-08-01T19:04:00.279944+0000,88
2372128,304,2,2025-07-28T06:34:51.975081+0000,31
2372129,258,2,2025-07-29T06:33:55.503965+0000,47
2377101,260,2,2025-08-01T03:31:31.374214+0000,31
2380130,281,2,2025-07-30T07:43:06.269286+0000,42
2380130,281,2,2025-07-30T07:49:13.318222+0000,48
2386102,256,2,2025-08-02T17:13:41.322720+0000,52
2386102,256,2,2025-08-02T17:25:17.412817+0000,47
2388130,281,2,2025-07-30T07:59:14.353149+0000,58
2388130,281,2,2025-07-30T08:12:00.430054+0000,66
2388130,281,2,2025-07-30T08:46:02.628978+0000,36
2393101,260,2,2025-08-01T05:30:23.352004+0000,31
2404130,264,2,2025-07-30T10:56:59.582135+0000,31
2404130,264,2,2025-07-30T10:57:41.584530+0000,33
2405131,259,2,2025-07-31T10:18:24.164228+0000,46
2405131,259,2,2025-07-31T11:02:20.779088+0000,32
2409101,260,2,2025-08-01T07:37:12.303883+0000,47
2409101,260,2,2025-08-01T07:48:49.414807+0000,58
2409101,260,2,2025-08-01T07:51:26.444506+0000,41
2409101,260,2,2025-08-01T07:52:34.469691+0000,66
2409101,260,2,2025-08-01T07:53:54.478647+0000,48
2412128,304,2,2025-07-28T11:19:25.046153+0000,55
2412128,304,2,2025-07-28T11:38:37.204246+0000,37
2412128,304,2,2025-07-28T11:45:27.271503+0000,32
2412130,264,2,2025-07-30T11:42:41.872929+0000,46
2412130,264,2,2025-07-30T11:43:49.880908+0000,33
2417101,260,2,2025-08-01T08:01:24.536380+0000,49
2417101,260,2,2025-08-01T08:06:17.585891+0000,36
2417101,260,2,2025-08-01T08:17:41.685611+0000,45
2417101,260,2,2025-08-01T08:23:27.779875+0000,36
2417101,260,2,2025-08-01T08:32:16.862176+0000,44
2417101,260,2,2025-08-01T08:38:19.859043+0000,68
2418102,256,2,2025-08-02T22:45:02.750523+0000,32
2418102,256,2,2025-08-02T22:46:04.740093+0000,32
